Year,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
California Violent Crime,423.5,402.6,396.4,428,444.8,453.3,447.5,442.1,442,481.2,499.5
United States Violent Crime,387.8,369.1,361.6,373.7,397.5,394.9,383.4,380.8,398.5,387,380.7
